»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'600804,≈Ù≤© ø,21.83,22.07,21.64,22.07,21.96,-0.13,-0.592,0.9683,13451113,293363514.0,30858491108.8,30324698578.6,None
2016-10-11,'600804,≈Ù≤© ø,21.96,22.09,21.81,22.09,22.11,-0.15,-0.6784,1.1989,16653909,365330733.0,31042256745.2,30505285423.1,None
2016-10-10,'600804,≈Ù≤© ø,22.11,22.17,21.05,21.05,20.98,1.13,5.3861,2.8712,39885170,867630358.0,31254294018.1,30713654859.0,None
2016-09-30,'600804,≈Ù≤© ø,20.98,21.1,20.77,20.85,20.92,0.06,0.2868,0.9763,13561380,284099958.0,29656946562.6,29143938441.5,None
2016-09-29,'600804,≈Ù≤© ø,20.92,21.04,20.74,21.04,21.01,-0.09,-0.4284,1.0257,14248874,297406628.0,29572131653.5,29060590667.2,None
2016-09-28,'600804,≈Ù≤© ø,21.01,21.13,20.74,20.99,20.91,0.1,0.4782,1.38,19169556,401987053.0,29699354017.2,29185612328.7,None
2016-09-27,'600804,≈Ù≤© ø,20.91,21.0,20.3,20.31,20.46,0.45,2.1994,1.2425,17259847,357346197.0,29557995835.3,29046699371.4,None
2016-09-26,'600804,≈Ù≤© ø,20.46,21.04,20.26,21.0,21.0,-0.54,-2.5714,1.4414,20022667,411971928.0,28921884016.7,28421591063.6,None
2016-09-23,'600804,≈Ù≤© ø,21.0,21.13,20.57,20.59,20.56,0.44,2.1401,1.953,27129830,566525653.0,29685218199.0,29171721033.0,None
2016-09-22,'600804,≈Ù≤© ø,20.56,20.66,20.28,20.39,20.37,0.19,0.9327,1.2688,17624898,361064850.0,29063242198.6,28560504020.9,None
2016-09-21,'600804,≈Ù≤© ø,20.37,20.39,20.09,20.19,20.19,0.18,0.8915,0.6761,9392597,190473584.0,28794661653.0,28296569402.0,None
2016-09-20,'600804,≈Ù≤© ø,20.19,20.35,20.01,20.14,20.24,-0.05,-0.247,0.489,6792201,137341032.0,28540216925.6,28046526078.9,None
2016-09-19,'600804,≈Ù≤© ø,20.24,20.44,20.15,20.2,20.08,0.16,0.7968,0.5866,8147946,165121879.0,28610896016.6,28115982557.5,None
2016-09-14,'600804,≈Ù≤© ø,20.08,20.35,19.96,20.11,20.29,-0.21,-1.035,0.5677,7885798,158429732.0,28384722925.5,27893721825.8,None
2016-09-13,'600804,≈Ù≤© ø,20.29,20.31,20.04,20.26,20.33,-0.04,-0.1968,0.5998,8331871,168071723.0,28681575107.5,28185439036.2,None
2016-09-12,'600804,≈Ù≤© ø,20.33,20.36,19.31,19.84,20.12,0.21,1.0437,1.796,24948636,494460067.0,28738118380.3,28241004219.1,None
2016-09-09,'600804,≈Ù≤© ø,20.12,20.59,20.1,20.56,20.62,-0.5,-2.4248,1.3813,19187656,389753898.0,28441266198.3,27949287008.8,None
2016-09-08,'600804,≈Ù≤© ø,20.62,20.88,20.4,20.81,20.79,-0.17,-0.8177,0.9199,12778807,263298914.0,29148057107.8,28643851795.3,None
2016-09-07,'600804,≈Ù≤© ø,20.79,21.13,20.72,20.98,20.94,-0.15,-0.7163,1.0145,14092766,294382337.0,29388366017.0,28880003822.7,None
2016-09-06,'600804,≈Ù≤© ø,20.94,21.08,20.6,20.93,20.91,0.03,0.1435,1.0695,14856218,309966080.0,29600403289.9,29088373258.6,None
2016-09-05,'600804,≈Ù≤© ø,20.91,21.07,20.62,20.63,20.56,0.35,1.7023,1.5796,21942896,457658342.0,29557995835.3,29046699371.4,None
2016-09-02,'600804,≈Ù≤© ø,20.56,20.58,20.06,20.1,20.25,0.31,1.5309,1.1421,15864842,322845988.0,29063242198.6,28560504020.9,None
2016-09-01,'600804,≈Ù≤© ø,20.25,20.66,20.2,20.55,20.54,-0.29,-1.4119,1.1217,15581555,318373745.0,28625031834.8,28129873853.2,None
2016-08-31,'600804,≈Ù≤© ø,20.54,20.59,20.14,20.52,20.51,0.03,0.1463,1.3708,19041849,387620489.0,29034970562.3,28532721429.4,None
2016-08-30,'600804,≈Ù≤© ø,20.51,21.25,20.46,21.18,21.01,-0.5,-2.3798,1.8982,26368749,544210864.0,28992563107.7,28491047542.2,None
2016-08-29,'600804,≈Ù≤© ø,21.01,21.37,20.6,20.71,20.83,0.18,0.8641,1.2799,17779395,374346137.0,29699354017.2,29185612328.7,None
