�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'603566,ぱ應螞,25.13,25.6,24.97,25.47,25.61,-0.48,-1.8743,1.2982,2104641,52958721.0,8041600000.0,4074029863.4,None
2016-10-11,'603566,ぱ應螞,25.61,25.8,25.43,25.61,25.7,-0.09,-0.3502,1.0707,1735730,44493505.0,8195200000.0,4151846589.8,None
2016-10-10,'603566,ぱ應螞,25.7,25.78,24.9,24.9,24.9,0.8,3.2129,1.6211,2628047,66895570.0,8224000000.0,4166437226.0,None
2016-09-30,'603566,ぱ應螞,24.9,25.1,24.65,24.69,24.7,0.2,0.8097,0.8416,1364372,33935404.0,7968000000.0,4036742682.0,None
2016-09-29,'603566,ぱ應螞,24.7,25.37,24.68,25.1,24.93,-0.23,-0.9226,1.6727,2711830,67570667.0,7904000000.0,4004319046.0,None
2016-09-28,'603566,ぱ應螞,24.93,25.9,24.79,25.9,25.94,-1.01,-3.8936,2.0794,3371034,84699683.0,7977600000.0,4041606227.4,None
2016-09-27,'603566,ぱ應螞,25.94,25.98,25.1,25.36,25.69,0.25,0.9731,1.9378,3141593,80198400.0,8300800000.0,4205345589.2,None
2016-09-26,'603566,ぱ應螞,25.69,26.59,25.5,26.42,26.58,-0.89,-3.3484,2.2526,3651951,95324970.0,8220800000.0,4164816044.2,None
2016-09-23,'603566,ぱ應螞,26.58,26.8,25.42,25.87,25.67,0.91,3.545,4.4081,7146299,188690650.0,8505600000.0,4309101224.4,None
2016-09-22,'603566,ぱ應螞,25.67,25.83,25.05,25.49,25.02,0.65,2.5979,2.0142,3265333,83440927.0,8214400000.0,4161573680.6,None
2016-09-21,'603566,ぱ應螞,25.02,25.39,24.75,25.09,25.2,-0.18,-0.7143,1.23,1994091,49776194.0,8006400000.0,4056196863.6,None
2016-09-20,'603566,ぱ應螞,25.2,25.9,25.09,25.6,25.55,-0.35,-1.3699,1.5603,2529552,64151416.0,8064000000.0,4085378136.0,None
2016-09-19,'603566,ぱ應螞,25.55,25.87,24.86,24.86,24.96,0.59,2.3638,2.0307,3292118,84332639.0,8176000000.0,4142119499.0,None
2016-09-14,'603566,ぱ應螞,24.96,25.36,24.76,24.98,25.02,-0.06,-0.2398,1.5758,2554659,64049585.0,7987200000.0,4046469772.8,None
2016-09-13,'603566,ぱ應螞,25.02,25.1,23.71,23.87,23.54,1.48,6.2872,2.306,3738406,91138276.0,8006400000.0,4056196863.6,None
2016-09-12,'603566,ぱ應螞,23.54,24.76,23.5,24.41,24.85,-1.31,-5.2716,2.1106,3421666,82639593.0,7532800000.0,3816261957.2,None
2016-09-09,'603566,ぱ應螞,24.85,25.19,24.8,24.91,25.03,-0.18,-0.7191,1.4315,2320696,58054549.0,7952000000.0,4028636773.0,None
2016-09-08,'603566,ぱ應螞,25.03,25.48,24.81,25.2,25.23,-0.2,-0.7927,1.3343,2163198,54391417.0,8009600000.0,4057818045.4,None
2016-09-07,'603566,ぱ應螞,25.23,25.95,25.21,25.6,25.62,-0.39,-1.5222,2.8009,4540801,115894582.0,8073600000.0,4090241681.4,None
2016-09-06,'603566,ぱ應螞,25.62,25.7,24.45,24.45,24.39,1.23,5.0431,3.3829,5484293,138376327.0,8198400000.0,4153467771.6,None
2016-09-05,'603566,ぱ應螞,24.39,25.36,24.31,25.22,25.12,-0.73,-2.9061,2.2415,3633866,90319813.0,7804800000.0,3954062410.2,None
2016-09-02,'603566,ぱ應螞,25.12,25.44,24.81,24.93,25.04,0.08,0.3195,1.6816,2726174,68736721.0,8038400000.0,4072408681.6,None
2016-09-01,'603566,ぱ應螞,25.04,25.32,25.0,25.11,25.14,-0.1,-0.3978,1.6999,2755770,69237606.0,8012800000.0,4059439227.2,None
2016-08-31,'603566,ぱ應螞,25.14,25.72,25.03,25.38,25.41,-0.27,-1.0626,2.5412,4119820,104642350.0,8044800000.0,4075651045.2,None
2016-08-30,'603566,ぱ應螞,25.41,25.57,24.94,25.23,25.48,-0.07,-0.2747,3.5825,5807832,146873603.0,8131200000.0,4119422953.8,None
