»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'600285,¡Á»Ò÷∆“©,12.35,12.4,12.25,12.38,12.44,-0.09,-0.7235,1.278,6842965,84213390.0,7315162349.3,6612617482.9,None
2016-10-11,'600285,¡Á»Ò÷∆“©,12.44,12.61,12.36,12.54,12.54,-0.1,-0.7974,1.4201,7603622,94586821.0,7368471224.72,6660806598.16,None
2016-10-10,'600285,¡Á»Ò÷∆“©,12.54,12.59,12.11,12.16,12.09,0.45,3.7221,1.8935,10138653,125432364.0,7427703308.52,6714350059.56,None
2016-09-30,'600285,¡Á»Ò÷∆“©,12.09,12.19,12.04,12.1,12.1,-0.01,-0.0826,1.0465,5603439,67986615.0,7161158931.42,6473404483.26,None
2016-09-29,'600285,¡Á»Ò÷∆“©,12.1,12.24,12.0,12.14,12.13,-0.03,-0.2473,0.5732,3069291,37300240.0,7167082139.8,6478758829.4,None
2016-09-28,'600285,¡Á»Ò÷∆“©,12.13,12.28,12.06,12.18,12.09,0.04,0.3309,1.045,5595155,68226367.0,7184851764.94,6494821867.82,None
2016-09-27,'600285,¡Á»Ò÷∆“©,12.09,12.1,11.86,11.9,11.93,0.16,1.3412,1.2505,6695672,80359583.0,7161158931.42,6473404483.26,None
2016-09-26,'600285,¡Á»Ò÷∆“©,11.93,12.24,11.91,12.16,12.27,-0.34,-2.771,1.4351,7684200,92608324.0,7066387597.34,6387734945.02,None
2016-09-23,'600285,¡Á»Ò÷∆“©,12.27,12.52,12.26,12.44,12.44,-0.17,-1.3666,1.3016,6969258,86454837.0,7267776682.26,6569782713.78,None
2016-09-22,'600285,¡Á»Ò÷∆“©,12.44,12.69,12.35,12.52,12.49,-0.05,-0.4003,1.6857,9025698,113266311.0,7368471224.72,6660806598.16,None
2016-09-21,'600285,¡Á»Ò÷∆“©,12.49,12.58,12.33,12.47,12.49,0.0,0.0,1.4168,7585938,94533737.0,7398087266.62,6687578328.86,None
2016-09-20,'600285,¡Á»Ò÷∆“©,12.49,12.5,12.21,12.26,12.34,0.15,1.2156,1.2303,6587438,81435208.0,7398087266.62,6687578328.86,None
2016-09-19,'600285,¡Á»Ò÷∆“©,12.34,12.76,12.15,12.42,12.41,-0.07,-0.5641,2.9723,15914640,198579781.0,7309239140.92,6607263136.76,None
2016-09-14,'600285,¡Á»Ò÷∆“©,12.41,12.43,11.93,12.01,12.11,0.3,2.4773,2.8251,15126485,185038264.0,7350701599.58,6644743559.74,None
2016-09-13,'600285,XD¡Á»Ò÷∆,12.11,12.13,11.65,11.78,11.77,0.34,2.8887,1.7799,9530281,112932532.0,7173005348.18,6484113175.54,None
2016-09-12,'600285,¡Á»Ò÷∆“©,11.92,12.35,11.82,11.9,12.03,-0.11,-0.9144,2.8291,15148179,183551809.0,7060464388.96,6382380598.88,None
2016-09-09,'600285,¡Á»Ò÷∆“©,12.03,12.3,12.02,12.05,12.0,0.03,0.25,1.5686,8398850,102168300.0,7125619681.14,6441278406.42,None
2016-09-08,'600285,¡Á»Ò÷∆“©,12.0,12.19,11.92,12.08,12.08,-0.08,-0.6623,1.1544,6180947,74491716.0,7107850056.0,6425215368.0,None
2016-09-07,'600285,¡Á»Ò÷∆“©,12.08,12.21,11.92,12.01,12.01,0.07,0.5828,1.3792,7384748,89204249.0,7155235723.04,6468050137.12,None
2016-09-06,'600285,¡Á»Ò÷∆“©,12.01,12.05,11.78,12.05,11.98,0.03,0.2504,1.1286,6043075,72123572.0,7113773264.38,6430569714.14,None
2016-09-05,'600285,¡Á»Ò÷∆“©,11.98,12.05,11.8,11.8,11.82,0.16,1.3536,1.4009,7501049,89703447.0,7096003639.24,6414506675.72,None
2016-09-02,'600285,¡Á»Ò÷∆“©,11.82,11.87,11.68,11.74,11.72,0.1,0.8532,0.9502,5087825,59947397.0,7001232305.16,6328837137.48,None
2016-09-01,'600285,¡Á»Ò÷∆“©,11.72,11.99,11.71,11.81,11.81,-0.09,-0.7621,1.3075,7000700,83073312.0,6942000221.36,6275293676.08,None
2016-08-31,'600285,¡Á»Ò÷∆“©,11.81,11.96,11.75,11.9,11.88,-0.07,-0.5892,1.1337,6070418,71981573.0,6995309096.78,6323482791.34,None
